station_complex_id,model,n_train,n_test,n_features,Train RMSE,Train R^2,Train MAE,Train MAPE,Test RMSE,Test R^2,Test MAE,Test MAPE
103,Baseline,25797,8253,1,67.35034751495294,0.2251463521881449,53.568709539868976,188.1387866134257,79.1084384763594,0.2495100526842659,63.485883920998425,175.6501246056765
118,Baseline,25797,8253,1,129.24428874349067,0.2518708407598042,100.37899755785556,245.47599842726967,152.460627116618,0.2208081540359282,117.57833515085424,250.19209550337044
231,Baseline,25797,8253,1,495.0209893498328,0.202227283782289,397.4778462611932,490.7206098675215,517.6258141365824,0.2128887120454274,422.7575427117412,497.6829392496697
409,Baseline,25797,8253,1,263.8510188689025,0.1906706133032846,214.47664457107416,216.7216384181025,309.0598522054331,0.1886647208113473,249.017084696474,209.7018853601547
399,Baseline,25797,8253,1,608.0888360773661,0.2147785171137244,417.3797728418033,488.5382391837695,652.2056075267037,0.1873520541579983,460.0871198352114,375.8255139898383
623,Baseline,25797,8253,1,1045.7006813012138,0.1462409581967551,812.3467845098268,205.4479652877208,1214.114921267883,0.1747510174682003,964.5501029928512,203.9707416522972
602,Baseline,25797,8253,1,1870.5258914317992,0.1904903584025874,1498.5098267240376,178.95820948259347,2207.231937463829,0.1678720414343784,1777.747606930813,178.01106623999928
618,Baseline,25797,8253,1,1007.9909256758774,0.1477566569365196,793.3483738419196,150.74952113399877,1123.9022648706875,0.1465843993606871,894.6300739125167,148.76212540995573
17,Baseline,25797,8253,1,342.2248309273939,0.1314366630153786,254.25185099042525,226.9458502087586,433.1421694776034,0.1421033418391962,314.50854234823703,350.709094750909
307,Baseline,25797,8253,1,377.098444763522,0.1435602825915264,264.76280187618715,316.5189716268825,411.005331360066,0.1293281542384344,288.7336726039016,303.66743522944574
619,Baseline,25797,8253,1,872.2393582726799,0.1408985552224104,693.6086754273753,175.35459420746778,1031.64160248471,0.1286682804052125,830.3690779110626,171.9319114277382
167,Baseline,25797,8253,1,788.7866513098745,0.1385597008547315,632.1715703376361,147.70667313652783,972.935484399447,0.1190462263276243,787.5639161517024,150.49635933693628
614,Baseline,25797,8253,1,1505.161328625266,0.107861411176828,1165.3634143505058,192.00655510412844,1646.8508892206332,0.1065494529177817,1294.3662910456803,186.77818884118
460,Baseline,25797,8253,1,238.14966133329267,0.1292267335620164,152.15633600806296,171.33791200030316,336.01947215275857,0.0886897436295724,208.1970192657216,162.04143546919033
601,Baseline,25797,8253,1,917.2278064770423,0.1038945138472684,739.3657789665465,168.41479367165434,1014.1891081419636,0.0878476097241776,827.1123227917121,167.13747804599774
405,Baseline,25797,8253,1,562.5381107288694,0.1185485096509862,404.1116408884754,227.60740806267304,676.2608701154394,0.0734908869852544,480.2221010541621,199.78732698318444
16,Baseline,25797,8253,1,339.114217876257,0.0938699361113194,270.4422219637942,229.12466534026424,407.5604602723555,0.0562822059415499,323.08190960862714,345.7019451392956
98,Baseline,25797,8253,1,156.30450879271044,0.0122777889227475,115.61402488661471,144.1855124613718,191.3613910756981,0.051450080741548,143.37659033078882,130.44682862976472
160,Baseline,25797,8253,1,255.660125971238,0.0548628555682577,188.8439741055161,400.4682242374069,292.25304466851617,0.0498888554491335,220.17193747728095,391.1830440683876
320,Baseline,25797,8253,1,272.4731926165479,0.0750826612347204,215.4829243710509,184.0114509247209,301.990294964518,0.0477997618730241,241.7369441415243,180.77899653830264
14,Baseline,25797,8253,1,438.44307272739326,0.0989434122167297,328.46137147730354,264.8140672650593,537.8311253534946,0.0447938597111402,394.9458378771356,384.7228674082133
323,Baseline,25797,8253,1,224.84375704730877,0.043726472388602,174.4106291429236,153.8101681507225,263.94646995934335,0.04021466159689,208.64558342420935,143.59683060752118
636,Baseline,25797,8253,1,891.4250898080181,0.0254209011817798,612.4493158119161,173.15357648276267,960.9296014263329,0.0397489791052111,674.6847207076215,173.06565284381833
204,Baseline,25797,8253,1,61.75961141933276,-0.4293077541281802,39.04194286157305,143.36550217385738,50.31052128572792,0.0298893811119453,27.548648976129893,85.43629031500333
13,Baseline,25797,8253,1,254.4659475821724,0.0280398675787914,189.5612668139706,257.59005796055993,309.98373217479246,0.0202517939081587,234.33054646795105,354.40950228387635
203,Baseline,25797,8253,1,19.66699550257502,-0.3769968761440698,12.68193976043726,103.56773972738551,18.860774795365582,0.0110010132280164,10.22828062522719,64.64684221436286
165,Baseline,25797,8253,1,452.5814777808672,0.0222202018469361,337.72175059115403,223.8989589213353,511.79047755079273,0.008602034336004,388.00787592390645,195.26983211112912
9,Baseline,25797,8253,1,787.5411474466462,-0.008156120429194,581.0580687676861,279.1724459211582,886.1091826528647,0.0024822741628758,665.7234944868533,456.8490239882847
321,Baseline,25797,8253,1,173.23884955750336,0.0601442349565474,131.59510795828973,185.53849520886664,192.7635620752228,-0.0028020810731723,146.70592511813885,174.67697707951297
200,Baseline,25797,8253,1,32.6410530703906,-0.1654518840580043,17.597821452106835,160.97144127641997,34.232952961436936,-0.0078433114536959,14.858354537743852,107.3877272167566
439,Baseline,25797,8253,1,261.82621114180483,-0.0483745654884768,201.1940148079234,189.69415741253144,305.8671266084454,-0.0086854240881837,239.4811583666545,156.82238879156458
224,Baseline,25797,8253,1,367.8269436884135,0.0661351639020023,247.40578361825015,613.5204314570191,452.5804552341539,-0.0155768220289043,323.5824548648976,268.50681294625576
168,Baseline,25797,8253,1,354.2928162129609,0.0511547432022354,250.99166569756173,305.43651366990366,491.1173110935775,-0.0208663083829085,338.49000363504183,297.54164755224
235,Baseline,25797,8253,1,339.3472390188045,-0.0069589496220114,260.5397914486181,331.754870950948,405.2655048329282,-0.0243767038905109,318.0925723979159,359.6333268170503
57,Baseline,25797,8253,1,75.24389411752439,-0.0437900846568206,51.89525913865953,232.31410294881604,86.84220262656748,-0.0274746942182939,58.25905731249243,258.00718200368743
175,Baseline,25797,8253,1,248.801426256624,0.0516519447313007,192.5464201263713,195.3420578359416,285.7815916724844,-0.0276987098115488,222.22416091118384,182.0773391040081
